activity_id,activity_name,location,price,duration,category,description
ACT-015,Munda Pahar Trek & Sunset Point,Port Blair,800,2.5 hours,Trekking,"Forest trail leading through coastal woodland to the westernmost cliff-edge sunset viewpoint."
ACT-016,Samudrika Naval Marine Museum Tour,Port Blair,150,1.5 hours,Cultural,"Indian Navy museum detailing Andaman indigenous tribes, geography, rare corals, and marine ecology."
ACT-017,Anthropological Museum & Sagarika Emporium,Port Blair,100,2 hours,Cultural,"Fascinating tribal heritage exhibits paired with government handicraft emporium for authentic woodwork and pearls."
ACT-018,Mount Harriet Nature Trek,Port Blair,1500,4 hours,Trekking,"Trek through tropical rainforest in a protected national park offering sweeping views of North Bay lighthouse."
ACT-019,Luxury Sunset Dinner Cruise,Port Blair,3800,3 hours,Cruises,"Evening harbor cruise featuring live music, ocean breeze, and a lavish coastal buffet."
ACT-020,Wandoor Beach & Marine Interpretation Center,Port Blair,600,3 hours,Nature,"Tranquil beach with mangrove boardwalk, ideal for quiet seaside strolls and marine conservation insights."
ACT-021,Andaman Seafood Culinary Experience,Port Blair,2200,2 hours,Culinary,"Authentic multi-course fresh coastal seafood dinner featuring freshly caught crab, prawns, and reef fish."
ACT-022,Shore Scuba Diving (Beginner / DSD),Swaraj Dweep (Havelock),4000,2.5 hours,Diving,"PADI/SSI introductory discovery dive in shallow coral lagoons with dedicated instructor, underwater photos and video included."
ACT-023,Boat Scuba Diving Havelock Reefs,Swaraj Dweep (Havelock),5500,4 hours,Diving,"Deep-reef dive excursion by speedboat to premium dive sites including Dixon's Pinnacle, Minerva Ledge, and Aquarium."
ACT-024,Advanced / Night Scuba Diving,Swaraj Dweep (Havelock),6500,3 hours,Diving,"Exclusive night dive experience for certified divers exploring nocturnal marine life, bioluminescence, and sleeping turtles."
ACT-025,Sea Walk at Elephant Beach,Swaraj Dweep (Havelock),3800,1.5 hours,Water Sports,"Undersea walking experience along Elephant Beach's sheltered coral garden with specialized dive helmet."
ACT-026,Elephant Beach Snorkelling with Speedboat Transfer,Swaraj Dweep (Havelock),1500,3 hours,Water Sports,"Scenic speedboat cruise from Havelock jetty followed by guided reef snorkelling among vibrant clownfish and corals."
ACT-027,Parasailing at Elephant Beach,Swaraj Dweep (Havelock),3500,1 hour,Adventure,"Tandem or solo parasailing flight taking off and landing on a specialized winch speedboat over Havelock's turquoise lagoon."
ACT-028,Jet Ski & Speedboat Safari Elephant Beach,Swaraj Dweep (Havelock),1000,30 mins,Water Sports,"Power jet ski spin and high-speed banana tube ride across the reef waters."
ACT-029,Mangrove Day Kayaking Adventure,Swaraj Dweep (Havelock),2500,2.5 hours,Adventure,"Guided tandem sea kayaking through serene mangrove creeks exploring rich coastal ecology and birdlife."
ACT-030,Night Kayaking & Bioluminescence Tour,Swaraj Dweep (Havelock),3500,2.5 hours,Adventure,"Magical starlit night paddle through calm mangrove waterways glowing with glittering bioluminescent phytoplankton."
ACT-031,Radhanagar Beach Sunset Leisure & Swimming,Swaraj Dweep (Havelock),0,3 hours,Beach,"Relaxation and swimming at Asia's top-rated white-sand beach beneath towering Mahua trees, ending with a majestic sunset."
ACT-032,Kalapathar Beach Sunrise & Coastal Drive,Swaraj Dweep (Havelock),0,2 hours,Beach,"Early morning scenic drive along black coastal rocks, aqua waters, and powdery golden sands for picturesque sunrise."
ACT-033,Game Fishing & Sport Angling Charter,Swaraj Dweep (Havelock),18000,Half Day,Adventure,"Private chartered sport-fishing expedition targeting Giant Trevally, Yellowfin Tuna, and Barracuda with professional tackle."
ACT-034,Candlelight Beachfront Dinner Havelock,Swaraj Dweep (Havelock),6000,3 hours,Culinary,"Private romantic seaside table setup on the soft sands with customized 4-course dinner under the starlit sky."
ACT-035,Elephant Beach Rainforest Trek,Swaraj Dweep (Havelock),800,3 hours,Trekking,"Guided tropical jungle nature hike through ancient canopies and mud trails emerging at Elephant Beach."
ACT-036,Undersea Scooter / BOB,Swaraj Dweep (Havelock),4500,1 hour,Water Sports,"Self-propelled electric underwater scooter with panoramic clear dome, easy breathing for all ages."
ACT-037,Scuba Diving Neil Island,Shaheed Dweep (Neil),4200,3 hours,Diving,"PADI certified instructor-led dive exploring Bharatpur reef and Margherita's Mischief with rare sea turtles and soft corals."
ACT-038,Snorkelling & Glass Bottom Boat at Bharatpur Beach,Shaheed Dweep (Neil),1200,2 hours,Water Sports,"Gentle shallow-water snorkelling and glass-bottom boat tour ideal for families and non-swimmers."
ACT-039,Natural Coral Bridge Low Tide Walk,Shaheed Dweep (Neil),0,2 hours,Nature,"Guided reef walk across exposed dead coral flats to marvel at the iconic natural limestone arch formation."
ACT-040,Laxmanpur Beach Sunset Stroll,Shaheed Dweep (Neil),0,2 hours,Beach,"Leisurely evening walk on Neil's widest coral sand beach witnessing panoramic twilight over the horizon."
ACT-041,Sitapur Beach Sunrise Point,Shaheed Dweep (Neil),0,2 hours,Nature,"Dramatic early morning sunrise against rugged limestone cliffs and surging surf on Neil's eastern coast."
ACT-042,Sea Kayaking Neil Island Coastline,Shaheed Dweep (Neil),2000,2 hours,Adventure,"Peaceful morning paddle along uncrowded turquoise coves and natural coastal rocks."
ACT-043,Countryside Cycling Tour Neil Island,Shaheed Dweep (Neil),500,3 hours,Adventure,"Eco-friendly bicycle tour cycling through sleepy coconut plantations, vegetable fields, and fishing hamlets."
ACT-044,Jet Ski & Water Sports at Bharatpur Beach,Shaheed Dweep (Neil),1000,30 mins,Water Sports,"Exciting high-speed watercraft spins across Neil Island's most active water sports hub."
ACT-045,Baratang Limestone Caves Safari & Trek,Baratang,2500,Full Day,Adventure,"Exciting speedboat safari through dense mangrove tunnels followed by a boardwalk trek to colossal karst caves."
ACT-046,Mud Volcano Excursion Baratang,Baratang,800,2 hours,Nature,"Visit to South Asia's rare geological phenomenon featuring bubbling subterranean mud craters."
ACT-047,Mangrove Creek Boat Safari Baratang,Baratang,1500,2 hours,Nature,"Electric canoe and motor launch safari deep into the dense saltwater mangrove ecosystem."
ACT-048,Parrot Island Sunset Boat Excursion,Baratang,2200,3 hours,Nature,"Evening boat ride to a secluded mangrove islet where thousands of wild parakeets roost en masse at twilight."
ACT-049,Ross and Smith Islands Twin Sandbar Excursion,Diglipur,1800,Half Day,Beach,"Day trip by fiber speedboat to the legendary natural white sandbar connecting two emerald tropical islands."
ACT-050,Saddle Peak National Park Guided Trek,Diglipur,1500,5 hours,Trekking,"Challenging climb to the highest summit in the Andaman archipelago through pristine rainforest with rare flora."
ACT-051,Kalipur Beach Sea Turtle Nesting Eco-Tour,Diglipur,1000,3 hours,Nature,"Nighttime ranger-guided observation of Olive Ridley, Hawksbill, and Green sea turtles nesting on volcanic sands."
ACT-052,Alfred Caves Limestone Cavern Exploration,Diglipur,2000,Full Day,Adventure,"Thrilling multi-cavern spelunking expedition through deep limestone caves home to Swiftlets and fruit bats."
ACT-053,Craggy Island Snorkelling Expedition,Diglipur,1200,3 hours,Water Sports,"Short boat ride from Kalipur beach to an untouched coral islet celebrated for vibrant purple corals."
ACT-054,Dhaninallah Mangrove Nature Walkway,Middle Andaman (Rangat),200,2 hours,Nature,"Leisurely stroll along India's longest 713-meter elevated wooden boardwalk meandering through lush mangroves."
ACT-055,Morice Dera Beach & Eco Park Walk,Middle Andaman (Rangat),100,1.5 hours,Nature,"Scenic rocky beach featuring unique freshwater stream confluence, natural rock overhangs, and wave breaks."
ACT-056,Avis Island Day Boat Trip,Middle Andaman (Mayabunder),1800,4 hours,Beach,"Exclusive coconut-fringed uninhabited island boat trip famous for calm shallow waters and coral gardens."
ACT-057,Karmatang Turtle Sanctuary & Beach,Middle Andaman (Mayabunder),200,2 hours,Nature,"Quiet eco-tourism beach known as a prime nesting ground for endangered marine turtles."
ACT-058,White Surf Waterfall Jungle Excursion,Little Andaman,1200,3 hours,Adventure,"Jeep journey and woodland trek through pristine evergreen rainforest to a roaring freshwater cascading waterfall."
ACT-059,Whisper Wave Waterfall Trek,Little Andaman,1500,4 hours,Trekking,"Exhilarating jungle trek leading to a secluded multi-tiered waterfall nestled deep in the tropical canopy."
ACT-060,Butler Bay Beach Surfing Experience,Little Andaman,2500,3 hours,Adventure,"World-renowned surfing beach featuring curving yellow sand bays and premier left-hand reef break swells."
